date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:06:19	272737/272737	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Dec%202024%2012:51:12%20GMT	https://smarthr.co.in/demo/html/template/index	C:/My%20Web%20Sites/SmartHr/smarthr.co.in/demo/html/template/index.html	(from )
08:06:20	111/111	---M-Z	200	added ('OK')	text/plain	etag:%2282-62fbdb1b966dc-gzip%22	https://smarthr.co.in/robots.txt		(from )
08:06:20	36053/36053	---M--	200	added ('OK')	image/png	etag:%228cd5-62849006b0040%22	https://smarthr.co.in/demo/html/template/assets/img/apple-touch-icon.png	C:/My%20Web%20Sites/SmartHr/smarthr.co.in/demo/html/template/assets/img/apple-touch-icon.png	(from https://smarthr.co.in/demo/html/template/index)
08:06:20	22616/22616	---M--	200	added ('OK')	image/png	etag:%225858-62849007a4280%22	https://smarthr.co.in/demo/html/template/assets/img/favicon.png	C:/My%20Web%20Sites/SmartHr/smarthr.co.in/demo/html/template/assets/img/favicon.png	(from https://smarthr.co.in/demo/html/template/index)
08:06:21	59057/59057	---M-Z	200	added ('OK')	text/javascript	etag:%22e6b1-62849008984c0-gzip%22	https://smarthr.co.in/demo/html/template/assets/js/theme-script.js	C:/My%20Web%20Sites/SmartHr/smarthr.co.in/demo/html/template/assets/js/theme-script.js	(from https://smarthr.co.in/demo/html/template/index)
08:06:21	232803/232803	---M-Z	200	added ('OK')	text/css	etag:%2238d63-62849006b0040-gzip%22	https://smarthr.co.in/demo/html/template/assets/css/bootstrap.min.css	C:/My%20Web%20Sites/SmartHr/smarthr.co.in/demo/html/template/assets/css/bootstrap.min.css	(from https://smarthr.co.in/demo/html/template/index)
08:06:21	11751/11751	---M-Z	200	added ('OK')	text/css	etag:%222de7-6284900a80940-gzip%22	https://smarthr.co.in/demo/html/template/assets/plugins/icons/feather/feather.css	C:/My%20Web%20Sites/SmartHr/smarthr.co.in/demo/html/template/assets/plugins/icons/feather/feather.css	(from https://smarthr.co.in/demo/html/template/index)
08:06:21	286439/286439	---M-Z	200	added ('OK')	text/css	etag:%2245ee7-6284900c68dc0-gzip%22	https://smarthr.co.in/demo/html/template/assets/plugins/tabler-icons/tabler-icons.css	C:/My%20Web%20Sites/SmartHr/smarthr.co.in/demo/html/template/assets/plugins/tabler-icons/tabler-icons.css	(from https://smarthr.co.in/demo/html/template/index)
08:06:22	16264/16264	---M-Z	200	added ('OK')	text/css	etag:%223f88-6284900a80940-gzip%22	https://smarthr.co.in/demo/html/template/assets/plugins/select2/css/select2.min.css	C:/My%20Web%20Sites/SmartHr/smarthr.co.in/demo/html/template/assets/plugins/select2/css/select2.min.css	(from https://smarthr.co.in/demo/html/template/index)
08:06:22	74325/74325	---M-Z	200	added ('OK')	text/css	etag:%2212255-628490098c700-gzip%22	https://smarthr.co.in/demo/html/template/assets/plugins/fontawesome/css/fontawesome.min.css	C:/My%20Web%20Sites/SmartHr/smarthr.co.in/demo/html/template/assets/plugins/fontawesome/css/fontawesome.min.css	(from https://smarthr.co.in/demo/html/template/index)
08:06:22	96518/96518	---M-Z	200	added ('OK')	text/css	etag:%2217906-628490098c700-gzip%22	https://smarthr.co.in/demo/html/template/assets/plugins/fontawesome/css/all.min.css	C:/My%20Web%20Sites/SmartHr/smarthr.co.in/demo/html/template/assets/plugins/fontawesome/css/all.min.css	(from https://smarthr.co.in/demo/html/template/index)
08:06:22	7785/7785	---M-Z	200	added ('OK')	text/css	etag:%221e69-62849006b0040-gzip%22	https://smarthr.co.in/demo/html/template/assets/css/bootstrap-datetimepicker.min.css	C:/My%20Web%20Sites/SmartHr/smarthr.co.in/demo/html/template/assets/css/bootstrap-datetimepicker.min.css	(from https://smarthr.co.in/demo/html/template/index)
08:06:23	1314/1314	---M-Z	200	added ('OK')	text/css	etag:%22522-628490098c700-gzip%22	https://smarthr.co.in/demo/html/template/assets/plugins/bootstrap-tagsinput/bootstrap-tagsinput.css	C:/My%20Web%20Sites/SmartHr/smarthr.co.in/demo/html/template/assets/plugins/bootstrap-tagsinput/bootstrap-tagsinput.css	(from https://smarthr.co.in/demo/html/template/index)
08:06:23	30447/30447	---M-Z	200	added ('OK')	text/css	etag:%2276ef-6284900b74b80-gzip%22	https://smarthr.co.in/demo/html/template/assets/plugins/summernote/summernote-lite.min.css	C:/My%20Web%20Sites/SmartHr/smarthr.co.in/demo/html/template/assets/plugins/summernote/summernote-lite.min.css	(from https://smarthr.co.in/demo/html/template/index)
08:06:23	7653/7653	---M-Z	200	added ('OK')	text/css	etag:%221de5-628490098c700-gzip%22	https://smarthr.co.in/demo/html/template/assets/plugins/daterangepicker/daterangepicker.css	C:/My%20Web%20Sites/SmartHr/smarthr.co.in/demo/html/template/assets/plugins/daterangepicker/daterangepicker.css	(from https://smarthr.co.in/demo/html/template/index)
08:06:24	16166/16166	---M-Z	200	added ('OK')	text/css	etag:%223f26-628490098c700-gzip%22	https://smarthr.co.in/demo/html/template/assets/plugins/flatpickr/flatpickr.min.css	C:/My%20Web%20Sites/SmartHr/smarthr.co.in/demo/html/template/assets/plugins/flatpickr/flatpickr.min.css	(from https://smarthr.co.in/demo/html/template/index)
08:06:25	9248/9248	---M-Z	200	added ('OK')	text/css	etag:%222420-628490098c700-gzip%22	https://smarthr.co.in/demo/html/template/assets/plugins/@simonwep/pickr/themes/nano.min.css	C:/My%20Web%20Sites/SmartHr/smarthr.co.in/demo/html/template/assets/plugins/@simonwep/pickr/themes/nano.min.css	(from https://smarthr.co.in/demo/html/template/index)
08:06:25	787751/787751	---MCZ	200	added ('OK')	text/css	etag:%22c0527-62849006b0040-gzip%22	https://smarthr.co.in/demo/html/template/assets/css/style.css	C:/My%20Web%20Sites/SmartHr/smarthr.co.in/demo/html/template/assets/css/style.css	(from https://smarthr.co.in/demo/html/template/index)
08:06:25	310/310	---MC-	302	error ('Found')	text/html	date:Mon,%2024%20Mar%202025%2007:06:25%20GMT	https://smarthr.co.in/demo/html/template/index.html	C:/My%20Web%20Sites/SmartHr/smarthr.co.in/demo/html/template/index-2.html	(from https://smarthr.co.in/demo/html/template/index)
08:06:25	15477/15477	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%223c75-62849007a4280%22	https://smarthr.co.in/demo/html/template/assets/img/logo.svg	C:/My%20Web%20Sites/SmartHr/smarthr.co.in/demo/html/template/assets/img/logo.svg	(from https://smarthr.co.in/demo/html/template/index)
08:06:26	310/310	---MC-	302	error ('Found')	text/html	date:Mon,%2024%20Mar%202025%2007:06:26%20GMT	https://smarthr.co.in/demo/html/template/index.html	C:/My%20Web%20Sites/SmartHr/smarthr.co.in/demo/html/template/index-2.html	(from https://smarthr.co.in/demo/html/template/index)
08:06:26	14520/14520	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2238b8-62849007a4280%22	https://smarthr.co.in/demo/html/template/assets/img/logo-white.svg	C:/My%20Web%20Sites/SmartHr/smarthr.co.in/demo/html/template/assets/img/logo-white.svg	(from https://smarthr.co.in/demo/html/template/index)
08:06:26	313/313	---MC-	302	error ('Found')	text/html	date:Mon,%2024%20Mar%202025%2007:06:26%20GMT	https://smarthr.co.in/demo/html/template/contacts.html	C:/My%20Web%20Sites/SmartHr/smarthr.co.in/demo/html/template/contacts.html	(from https://smarthr.co.in/demo/html/template/index)
08:06:26	277144/277144	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Dec%202024%2012:51:11%20GMT	https://smarthr.co.in/demo/html/template/contacts	C:/My%20Web%20Sites/SmartHr/smarthr.co.in/demo/html/template/contacts.html	(from https://smarthr.co.in/demo/html/template/index)
08:06:27	315/315	---MC-	302	error ('Found')	text/html	date:Mon,%2024%20Mar%202025%2007:06:27%20GMT	https://smarthr.co.in/demo/html/template/deals-grid.html	C:/My%20Web%20Sites/SmartHr/smarthr.co.in/demo/html/template/deals-grid.html	(from https://smarthr.co.in/demo/html/template/index)
08:06:27	238205/238205	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Dec%202024%2012:51:11%20GMT	https://smarthr.co.in/demo/html/template/deals-grid	C:/My%20Web%20Sites/SmartHr/smarthr.co.in/demo/html/template/deals-grid.html	(from https://smarthr.co.in/demo/html/template/index)
08:06:27	313/313	---MC-	302	error ('Found')	text/html	date:Mon,%2024%20Mar%202025%2007:06:27%20GMT	https://smarthr.co.in/demo/html/template/pipeline.html	C:/My%20Web%20Sites/SmartHr/smarthr.co.in/demo/html/template/pipeline.html	(from https://smarthr.co.in/demo/html/template/index)
08:06:27	224692/224692	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Dec%202024%2012:51:12%20GMT	https://smarthr.co.in/demo/html/template/pipeline	C:/My%20Web%20Sites/SmartHr/smarthr.co.in/demo/html/template/pipeline.html	(from https://smarthr.co.in/demo/html/template/index)
08:06:28	319/319	---MC-	302	error ('Found')	text/html	date:Mon,%2024%20Mar%202025%2007:06:28%20GMT	https://smarthr.co.in/demo/html/template/companies-grid.html	C:/My%20Web%20Sites/SmartHr/smarthr.co.in/demo/html/template/companies-grid.html	(from https://smarthr.co.in/demo/html/template/index)
08:06:28	319160/319160	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Dec%202024%2012:51:11%20GMT	https://smarthr.co.in/demo/html/template/companies-grid	C:/My%20Web%20Sites/SmartHr/smarthr.co.in/demo/html/template/companies-grid.html	(from https://smarthr.co.in/demo/html/template/index)
08:06:28	315/315	---MC-	302	error ('Found')	text/html	date:Mon,%2024%20Mar%202025%2007:06:28%20GMT	https://smarthr.co.in/demo/html/template/leads-grid.html	C:/My%20Web%20Sites/SmartHr/smarthr.co.in/demo/html/template/leads-grid.html	(from https://smarthr.co.in/demo/html/template/index)
08:06:28	293680/293680	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Dec%202024%2012:51:12%20GMT	https://smarthr.co.in/demo/html/template/leads-grid	C:/My%20Web%20Sites/SmartHr/smarthr.co.in/demo/html/template/leads-grid.html	(from https://smarthr.co.in/demo/html/template/index)
08:06:28	313/313	---MC-	302	error ('Found')	text/html	date:Mon,%2024%20Mar%202025%2007:06:28%20GMT	https://smarthr.co.in/demo/html/template/activity.html	C:/My%20Web%20Sites/SmartHr/smarthr.co.in/demo/html/template/activity.html	(from https://smarthr.co.in/demo/html/template/index)
08:06:29	278402/278402	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Dec%202024%2012:51:05%20GMT	https://smarthr.co.in/demo/html/template/activity	C:/My%20Web%20Sites/SmartHr/smarthr.co.in/demo/html/template/activity.html	(from https://smarthr.co.in/demo/html/template/index)
08:06:29	321/321	---MC-	302	error ('Found')	text/html	date:Mon,%2024%20Mar%202025%2007:06:29%20GMT	https://smarthr.co.in/demo/html/template/profile-settings.html	C:/My%20Web%20Sites/SmartHr/smarthr.co.in/demo/html/template/profile-settings.html	(from https://smarthr.co.in/demo/html/template/index)
08:06:29	194432/194432	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Dec%202024%2012:51:12%20GMT	https://smarthr.co.in/demo/html/template/profile-settings	C:/My%20Web%20Sites/SmartHr/smarthr.co.in/demo/html/template/profile-settings.html	(from https://smarthr.co.in/demo/html/template/index)
08:06:29	310/310	---MC-	302	error ('Found')	text/html	date:Mon,%2024%20Mar%202025%2007:06:29%20GMT	https://smarthr.co.in/demo/html/template/index.html	C:/My%20Web%20Sites/SmartHr/smarthr.co.in/demo/html/template/index-2.html	(from https://smarthr.co.in/demo/html/template/index)
